"storm","city","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Phanfone","Hamamatsu14","90","144.84","90 - Phanfone - Hamamatsu14","2014-10-06","2014","15188","6154","-59.0000","36761.2000","7001.6300","-29759.570000","-269.026513","269.0265","-80.9538","80.9538","-64.0931","64.0931",2,"1584","0.2678","424.1610","610","0.2497","0.018100","0.018100","0.002421","0.002257","0.000164","0.000164","152.3030","-271.8580","271.858000","-2.457600","2.457600","0.10429286","0.09912252","0.00517034","0.00517034","0.01153828","0.02175251","-0.01021423","0.01021423"
"Phanfone","Hamamatsu14","90","144.84","90 - Phanfone - Hamamatsu14","2014-10-06","2014","15188","6154","-59.0000","36761.2000","7001.6300","-29759.570000","-269.026513","269.0265","-80.9538","80.9538","-67.5346","67.5346",3,"855","0.7281","622.5490","283","0.7142","0.013900","0.013900","0.006582","0.006456","0.000126","0.000126","202.1130","-420.4360","420.436000","-3.800700","3.800700","0.05629444","0.04598635","0.01030809","0.01030809","0.01693495","0.02886656","-0.01193162","0.01193162"
"Phanfone","Hamamatsu14","90","144.84","90 - Phanfone - Hamamatsu14","2014-10-06","2014","15188","6154","-59.0000","36761.2000","7001.6300","-29759.570000","-269.026513","269.0265","-80.9538","80.9538","-76.3718","76.3718",4,"2263","2.5739","5824.6400","580","2.3729","0.201000","0.201000","0.023268","0.021451","0.001817","0.001817","1376.2600","-4448.3800","4448.380000","-40.213400","40.213400","0.14899921","0.09424764","0.05475157","0.05475157","0.15844532","0.19656280","-0.03811748","0.03811748"
"Phanfone","Hamamatsu14","90","144.84","90 - Phanfone - Hamamatsu14","2014-10-06","2014","15188","6154","-59.0000","36761.2000","7001.6300","-29759.570000","-269.026513","269.0265","-80.9538","80.9538","-83.4463","83.4463",5,"1049","7.1165","7465.2400","176","7.0214","0.095100","0.095100","0.064333","0.063473","0.000860","0.000860","1235.7700","-6229.4700","6229.470000","-56.314400","56.314400","0.06906769","0.02859929","0.04046840","0.04046840","0.20307389","0.17649747","0.02657642","0.02657642"
"Phanfone","Hamamatsu14","90","144.84","90 - Phanfone - Hamamatsu14","2014-10-06","2014","15188","6154","-59.0000","36761.2000","7001.6300","-29759.570000","-269.026513","269.0265","-80.9538","80.9538","-82.2035","82.2035",6,"1074","20.7504","22286.0000","186","21.3232","-0.572800","0.572800","0.187584","0.192762","-0.005178","0.005178","3966.1200","-18319.8800","18319.880000","-165.611400","165.611400","0.07071372","0.03022424","0.04048948","0.04048948","0.60623701","0.56645667","0.03978034","0.03978034"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-80.2127","80.2127",1,"92","0.0416","3.8272","29","0.0261","0.015500","0.015500","0.000376","0.000236","0.000140","0.000140","0.7573","-3.0699","3.069900","-0.027800","0.027800","0.10760234","0.12033195","-0.01272961","0.01272961","0.00055258","0.00036836","0.00018423","0.00018423"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-80.5134","80.5134",2,"101","0.2616","26.4213","20","0.2574","0.004200","0.004200","0.002365","0.002327","0.000038","0.000038","5.1486","-21.2727","21.272700","-0.192300","0.192300","0.11812865","0.08298755","0.03514110","0.03514110","0.00381478","0.00250432","0.00131047","0.00131047"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-68.0859","68.0859",3,"43","0.7155","30.7679","15","0.6546","0.060900","0.060900","0.006468","0.005918","0.000551","0.000551","9.8193","-20.9486","20.948600","-0.189400","0.189400","0.05029240","0.06224066","-0.01194827","0.01194827","0.00444236","0.00477618","-0.00033382","0.00033382"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-67.8621","67.8621",4,"243","2.7815","675.9160","78","2.7849","-0.003400","0.003400","0.025145","0.025175","-0.000031","0.000031","217.2250","-458.6910","458.691000","-4.146600","4.146600","0.28421053","0.32365145","-0.03944093","0.03944093","0.09759068","0.10565984","-0.00806915","0.00806915"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-73.1611","73.1611",5,"159","7.0280","1117.4500","43","6.9747","0.053300","0.053300","0.063533","0.063051","0.000482","0.000482","299.9110","-817.5390","817.539000","-7.390600","7.390600","0.18596491","0.17842324","0.00754168","0.00754168","0.16134062","0.14587891","0.01546171","0.01546171"
"Meranti","Taipei","95","152.89","95 - Meranti - Taipei","2016-09-14","2016","855","241","-71.0000","6926.0300","2055.8900","-4870.140000","-44.026066","44.0261","-70.3165","70.3165","-69.9697","69.9697",6,"217","23.3716","5071.6400","56","27.1970","-3.825400","3.825400","0.211279","0.245861","-0.034582","0.034582","1523.0300","-3548.6100","3548.610000","-32.079400","32.079400","0.25380117","0.23236515","0.02143602","0.02143602","0.73225787","0.74081298","-0.00855511","0.00855511"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-66.1891","66.1891",1,"140","0.0275","3.8458","41","0.0317","-0.004200","0.004200","0.000249","0.000287","-0.000038","0.000038","1.3003","-2.5455","2.545500","-0.023000","0.023000","0.02437326","0.03483432","-0.01046107","0.01046107","0.00003748","0.00006099","-0.00002351","0.00002351"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-72.8467","72.8467",2,"191","0.2377","45.4037","53","0.2326","0.005100","0.005100","0.002149","0.002103","0.000046","0.000046","12.3286","-33.0751","33.075100","-0.299000","0.299000","0.03325209","0.04502974","-0.01177765","0.01177765","0.00044243","0.00057825","-0.00013582","0.00013582"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-73.4481","73.4481",3,"167","0.7244","120.9740","44","0.7300","-0.005600","0.005600","0.006549","0.006599","-0.000051","0.000051","32.1209","-88.8531","88.853100","-0.803200","0.803200","0.02907382","0.03738318","-0.00830936","0.00830936","0.00117882","0.00150658","-0.00032776","0.00032776"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-79.7099","79.7099",4,"675","2.7787","1875.6500","150","2.5371","0.241600","0.241600","0.025119","0.022935","0.002184","0.002184","380.5720","-1495.0780","1495.078000","-13.515500","13.515500","0.11751393","0.12744265","-0.00992872","0.00992872","0.01827709","0.01785013","0.00042696","0.00042696"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-83.1203","83.1203",5,"1113","7.6352","8498.0000","191","7.5101","0.125100","0.125100","0.069022","0.067891","0.001131","0.001131","1434.4400","-7063.5600","7063.560000","-63.854600","63.854600","0.19376741","0.16227698","0.03149043","0.03149043","0.08280795","0.06728016","0.01552778","0.01552778"
"Harvey","Houston","100","160.93","100 - Harvey - Houston","2017-08-25","2017","5744","1177","-79.0000","102623.0000","21320.4000","-81302.600000","-734.975504","734.9755","-79.2245","79.2245","-78.8664","78.8664",6,"3458","26.6280","92079.5000","698","27.8792","-1.251200","1.251200","0.240717","0.252028","-0.011311","0.011311","19459.7000","-72619.8000","72619.800000","-656.483300","656.483300","0.60201950","0.59303314","0.00898636","0.00898636","0.89725987","0.91272678","-0.01546690","0.01546690"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","-6.0997","6.0997",1,"24","0.0258","0.6197","26","0.0224","0.003400","0.003400","0.000233","0.000202","0.000031","0.000031","0.5819","-0.0378","0.037800","-0.000300","0.000300","0.05429864","0.10276680","-0.04846816","0.04846816","0.00009752","0.00014493","-0.00004741","0.00004741"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","-64.6547","64.6547",2,"15","0.2591","3.8868","5","0.2748","-0.015700","0.015700","0.002342","0.002484","-0.000142","0.000142","1.3738","-2.5130","2.513000","-0.022700","0.022700","0.03393665","0.01976285","0.01417381","0.01417381","0.00061162","0.00034216","0.00026947","0.00026947"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","1.3226","1.3226",3,"10","0.6374","6.3738","8","0.8073","-0.169900","0.169900","0.005762","0.007298","-0.001536","0.001536","6.4581","0.0843","0.084300","0.000800","0.000800","0.02262443","0.03162055","-0.00899612","0.00899612","0.00100298","0.00160845","-0.00060548","0.00060548"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","-37.6094","37.6094",4,"50","3.2738","163.6880","33","3.0947","0.179100","0.179100","0.029595","0.027976","0.001619","0.001619","102.1260","-61.5620","61.562000","-0.556500","0.556500","0.11312217","0.13043478","-0.01731261","0.01731261","0.02575780","0.02543548","0.00032232","0.00032232"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","-61.4301","61.4301",5,"78","7.5534","589.1660","31","7.3303","0.223100","0.223100","0.068283","0.066266","0.002017","0.002017","227.2410","-361.9250","361.925000","-3.271800","3.271800","0.17647059","0.12252964","0.05394094","0.05394094","0.09271065","0.05659660","0.03611405","0.03611405"
"Matthew","Jacksonville","115","185.07","115 - Matthew - Jacksonville","2016-10-07","2016","442","253","-42.0000","6354.8900","4015.1000","-2339.790000","-21.151702","21.1517","-36.8187","36.8187","-34.2296","34.2296",6,"265","21.0987","5591.1500","150","24.5155","-3.416800","3.416800","0.190732","0.221620","-0.030888","0.030888","3677.3200","-1913.8300","1913.830000","-17.301100","17.301100","0.59954751","0.59288538","0.00666214","0.00666214","0.87981853","0.91587258","-0.03605405","0.03605405"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-65.3863","65.3863",1,"60128","0.0129","777.6930","17655","0.0152","-0.002300","0.002300","0.000117","0.000137","-0.000021","0.000021","269.1880","-508.5050","508.505000","-4.596900","4.596900","0.69678077","0.66262573","0.03415504","0.03415504","0.01186524","0.01577825","-0.00391301","0.00391301"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-56.2407","56.2407",2,"10357","0.2545","2636.1700","4531","0.2546","-0.000100","0.000100","0.002301","0.002302","-0.000001","0.000001","1153.5700","-1482.6000","1482.600000","-13.402700","13.402700","0.12001993","0.17005705","-0.05003712","0.05003712","0.04021998","0.06761563","-0.02739566","0.02739566"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-64.2464","64.2464",3,"3667","0.7064","2590.3400","1320","0.7016","0.004800","0.004800","0.006386","0.006342","0.000043","0.000043","926.1390","-1664.2010","1664.201000","-15.044300","15.044300","0.04249426","0.04954211","-0.00704785","0.00704785","0.03952075","0.05428494","-0.01476419","0.01476419"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-73.3669","73.3669",4,"7562","2.5653","19398.9000","2038","2.5351","0.030200","0.030200","0.023190","0.022917","0.000273","0.000273","5166.5300","-14232.3700","14232.370000","-128.660500","128.660500","0.08763066","0.07649002","0.01114064","0.01114064","0.29596850","0.30283224","-0.00686374","0.00686374"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-76.4765","76.4765",5,"3327","7.1119","23661.2000","795","7.0012","0.110700","0.110700","0.064292","0.063291","0.001001","0.001001","5565.9500","-18095.2500","18095.250000","-163.581000","163.581000","0.03855424","0.02983786","0.00871638","0.00871638","0.36099829","0.32624394","0.03475435","0.03475435"
"Rammasun","Antipolo","115","185.07","115 - Rammasun - Antipolo","2014-07-16","2014","86294","26644","-69.0000","65543.8000","17060.7000","-48483.100000","-438.287224","438.2872","-73.9705","73.9705","-75.8533","75.8533",6,"1253","13.1522","16479.7000","305","13.0469","0.105300","0.105300","0.118896","0.117944","0.000952","0.000952","3979.3000","-12500.4000","12500.400000","-113.003800","113.003800","0.01452013","0.01144723","0.00307290","0.00307290","0.25143034","0.23324365","0.01818669","0.01818669"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-85.7888","85.7888",1,"71","0.0291","2.0695","8","0.0368","-0.007700","0.007700","0.000263","0.000333","-0.000070","0.000070","0.2941","-1.7754","1.775400","-0.016000","0.016000","0.13051471","0.09523810","0.03527661","0.03527661","0.00056230","0.00040526","0.00015704","0.00015704"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-93.4324","93.4324",2,"76","0.2926","22.2381","7","0.2086","0.084000","0.084000","0.002645","0.001886","0.000759","0.000759","1.4605","-20.7776","20.777600","-0.187800","0.187800","0.13970588","0.08333333","0.05637255","0.05637255","0.00604226","0.00201251","0.00402975","0.00402975"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-81.4817","81.4817",3,"37","0.7623","28.2050","7","0.7462","0.016100","0.016100","0.006891","0.006746","0.000146","0.000146","5.2231","-22.9819","22.981900","-0.207800","0.207800","0.06801471","0.08333333","-0.01531863","0.01531863","0.00766351","0.00719722","0.00046629","0.00046629"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-83.4049","83.4049",4,"176","2.6534","466.9950","24","3.2291","-0.575700","0.575700","0.023987","0.029191","-0.005204","0.005204","77.4981","-389.4969","389.496900","-3.521100","3.521100","0.32352941","0.28571429","0.03781513","0.03781513","0.12688599","0.10678920","0.02009678","0.02009678"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-82.6346","82.6346",5,"44","6.7539","297.1700","8","6.4506","0.303300","0.303300","0.061055","0.058313","0.002742","0.002742","51.6047","-245.5653","245.565300","-2.219900","2.219900","0.08088235","0.09523810","-0.01435574","0.01435574","0.08074328","0.07110916","0.00963412","0.00963412"
"Mangkhut","Hong Kong","135","217.26","135 - Mangkhut - Hong Kong","2018-09-16","2018","544","84","-84.0000","3680.4300","725.7110","-2954.719000","-26.710660","26.7107","-80.2819","80.2819","-79.4106","79.4106",6,"140","20.4554","2863.7600","30","19.6544","0.801000","0.801000","0.184917","0.177676","0.007241","0.007241","589.6310","-2274.1290","2274.129000","-20.558100","20.558100","0.25735294","0.35714286","-0.09978992","0.09978992","0.77810473","0.81248734","-0.03438261","0.03438261"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-69.6206","69.6206",1,"1579","0.0171","26.9627","475","0.0172","-0.000100","0.000100","0.000155","0.000155","-0.000001","0.000001","8.1911","-18.7716","18.771600","-0.169700","0.169700","0.47718344","0.45367717","0.02350627","0.02350627","0.00479367","0.00647318","-0.00167952","0.00167952"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-45.2288","45.2288",2,"331","0.2696","89.2350","176","0.2777","-0.008100","0.008100","0.002437","0.002510","-0.000073","0.000073","48.8751","-40.3599","40.359900","-0.364900","0.364900","0.10003022","0.16809933","-0.06806911","0.06806911","0.01586499","0.03862453","-0.02275955","0.02275955"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-43.9873","43.9873",3,"197","0.7303","143.8630","114","0.7069","0.023400","0.023400","0.006602","0.006390","0.000212","0.000212","80.5816","-63.2814","63.281400","-0.572100","0.572100","0.05953460","0.10888252","-0.04934792","0.04934792","0.02557724","0.06368124","-0.03810400","0.03810400"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-77.1426","77.1426",4,"818","2.5042","2048.4400","208","2.2511","0.253100","0.253100","0.022638","0.020350","0.002288","0.002288","468.2200","-1580.2200","1580.220000","-14.285200","14.285200","0.24720459","0.19866285","0.04854175","0.04854175","0.36418977","0.37002031","-0.00583054","0.00583054"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-82.8640","82.8640",5,"292","7.2492","2116.7700","51","7.1123","0.136900","0.136900","0.065533","0.064295","0.001238","0.001238","362.7300","-1754.0400","1754.040000","-15.856600","15.856600","0.08824418","0.04871060","0.03953358","0.03953358","0.37633808","0.28665471","0.08968338","0.08968338"
"Haiyan","Cebu City","140","225.31","140 - Haiyan - Cebu City","2013-11-08","2013","3309","1047","-68.0000","5624.6500","1265.3900","-4359.260000","-39.407710","39.4077","-77.5028","77.5028","-75.2542","75.2542",6,"92","13.0367","1199.3700","23","12.9041","0.132600","0.132600","0.117852","0.116653","0.001199","0.001199","296.7940","-902.5760","902.576000","-8.159300","8.159300","0.02780296","0.02196753","0.00583544","0.00583544","0.21323460","0.23454745","-0.02131285","0.02131285"
"Haiyan","Tacloban","184","296.12","184 - Haiyan - Tacloban","2013-11-08","2013","220","7","-96.0000","302.7670","12.9022","-289.864800","-2.620378","2.6204","-95.7386","95.7386","-99.1857","99.1857",1,"112","0.0190","2.1245","2","0.0087","0.010300","0.010300","0.000172","0.000079","0.000093","0.000093","0.0173","-2.1072","2.107200","-0.019000","0.019000","0.50909091","0.28571429","0.22337662","0.22337662","0.00701695","0.00134086","0.00567609","0.00567609"
"Haiyan","Tacloban","184","296.12","184 - Haiyan - Tacloban","2013-11-08","2013","220","7","-96.0000","302.7670","12.9022","-289.864800","-2.620378","2.6204","-95.7386","95.7386","-88.9050","88.9050",3,"14","0.7731","10.8238","2","0.6004","0.172700","0.172700","0.006989","0.005428","0.001561","0.001561","1.2009","-9.6229","9.622900","-0.087000","0.087000","0.06363636","0.28571429","-0.22207792","0.22207792","0.03574960","0.09307715","-0.05732755","0.05732755"
"Haiyan","Tacloban","184","296.12","184 - Haiyan - Tacloban","2013-11-08","2013","220","7","-96.0000","302.7670","12.9022","-289.864800","-2.620378","2.6204","-95.7386","95.7386","-96.1662","96.1662",4,"60","2.7664","165.9860","2","3.1818","-0.415400","0.415400","0.025008","0.028763","-0.003755","0.003755","6.3635","-159.6225","159.622500","-1.443000","1.443000","0.27272727","0.28571429","-0.01298701","0.01298701","0.54823016","0.49321046","0.05501970","0.05501970"
"Haiyan","Tacloban","184","296.12","184 - Haiyan - Tacloban","2013-11-08","2013","220","7","-96.0000","302.7670","12.9022","-289.864800","-2.620378","2.6204","-95.7386","95.7386","-94.2973","94.2973",5,"14","6.6640","93.2967","1","5.3204","1.343600","1.343600","0.060243","0.048096","0.012146","0.012146","5.3204","-87.9763","87.976300","-0.795300","0.795300","0.06363636","0.14285714","-0.07922078","0.07922078","0.30814686","0.41236378","-0.10421692","0.10421692"
